NZ_CP053841.1 Campylobacter blaseri strain LMG 30333 chromosome, complete genome 
NZ_CP053845.1 Campylobacter sp. CCUG 57310 chromosome, complete genome 
NZ_CP054848.1 Campylobacter jejuni strain BfR-CA-12970 chromosome 
NZ_CP054847.1 Campylobacter jejuni strain BfR-CA-14138 chromosome 
NZ_CP053825.1 Campylobacter armoricus strain CCUG 73571 chromosome, complete genome 
NZ_CP053826.1 Campylobacter curvus strain ATCC 35224 chromosome, complete genome 
NZ_CP053827.1 Campylobacter hyointestinalis subsp. hyointestinalis strain CCUG 14169 chromosome, complete genome 
NZ_CP053828.1 Campylobacter hyointestinalis subsp. lawsonii strain CHY5 chromosome, complete genome 
NZ_CP053830.1 Campylobacter lari subsp. lari strain LMG 8846 chromosome, complete genome 
NZ_CP053831.1 Campylobacter mucosalis strain ATCC 43264 chromosome, complete genome 
NZ_CP053832.1 Campylobacter ureolyticus strain LMG 6451 chromosome, complete genome 
NZ_CP053849.1 Campylobacter upsaliensis RM3940 chromosome, complete genome 
NZ_CP058293.1 Campylobacter jejuni strain D33a chromosome, complete genome 
NZ_CP058299.1 Campylobacter jejuni strain A9a chromosome, complete genome 
NZ_CP058340.1 Campylobacter coli strain 20A420 chromosome, complete genome 
NZ_CP040015.1 Campylobacter jejuni subsp. jejuni strain LDG17f chromosome, complete genome 
NZ_CP040016.1 Campylobacter jejuni subsp. jejuni strain 9090 chromosome, complete genome 
NZ_CP058295.1 Campylobacter jejuni strain A14a chromosome, complete genome 
NZ_CP058336.1 Campylobacter coli strain R7B144 chromosome, complete genome 
NZ_CP059158.1 Campylobacter jejuni subsp. jejuni strain OBT12386 chromosome, complete genome 
NZ_CP059159.1 Campylobacter jejuni subsp. jejuni strain OBT12393 chromosome, complete genome 
NZ_CP059160.1 Campylobacter jejuni subsp. jejuni strain OBT12390 chromosome, complete genome 
NZ_CP059682.1 Campylobacter upsaliensis strain FDAARGOS_736 chromosome, complete genome 
NZ_CP059709.1 Campylobacter jejuni strain C41 chromosome, complete genome 
NZ_CP059964.1 Campylobacter jejuni strain C1922C72 chromosome, complete genome 
NZ_CP059972.1 Campylobacter jejuni strain C220 chromosome, complete genome 
NZ_CP059965.1 Campylobacter jejuni strain C219 chromosome, complete genome 
NZ_CP059966.1 Campylobacter jejuni strain C203 chromosome, complete genome 
NZ_CP059967.1 Campylobacter jejuni strain C201 chromosome, complete genome 
NZ_CP059968.1 Campylobacter jejuni strain C197 chromosome, complete genome 
NZ_CP059969.1 Campylobacter jejuni strain C109 chromosome, complete genome 
NZ_CP059970.1 Campylobacter jejuni strain C57 chromosome, complete genome 
NZ_CP059971.1 Campylobacter jejuni strain C34 chromosome, complete genome 
