user_genome	closest_placement_reference
PID-0477-20EPA017CF12__45294	s__Campylobacter_D jejuni
PID-1150-22EPA088CP9__69287	s__Campylobacter_D jejuni
PID-0657-20EPA027CP6__51348	s__Campylobacter_D coli
PID-1291-22EPA077CP7__76361	s__Campylobacter_D jejuni
PID-1250-22EPA083CP9__74251	s__Campylobacter_D jejuni
PID-1214-EPA097-3__71833	s__Campylobacter_D jejuni
PID-0836-21EPA050CP8__57792	s__Campylobacter_D jejuni
PID-0915-21EPA034CF9__59967	s__Campylobacter_D jejuni
PID-0818-21EPA041CP5__56471	s__Campylobacter_D jejuni
PID-1214-EPA097-18__71821	s__Campylobacter_D jejuni
PID-0836-21EPA049CF2__57794	s__Campylobacter_D jejuni
PID-1150-22EPA088CP6__69279	s__Campylobacter_D jejuni
PID-0444-20EPA015CF14__43923	s__Campylobacter_D jejuni
PID-1108-22EPA078CP5__67539	s__Campylobacter_D jejuni
PID-1250-22EPA080CP16__74227	s__Campylobacter_D jejuni
PID-0666-21EPA039CP9__52159	s__Campylobacter_D jejuni
PID-1150-22EPA087CP2__69319	s__Campylobacter_D coli
PID-0915-21EPA034CP4__59940	s__Campylobacter_D jejuni
PID-0818-21EPA041CF6__56468	s__Campylobacter_D jejuni
PID-0915-21EPA034CF10__59956	s__Campylobacter_D jejuni
PID-0666-21EPA039CP11__52174	s__Campylobacter_D jejuni
PID-1108-22EPA079CP20__67520	s__Campylobacter_D jejuni
PID-0836-21EPA050CF8__57723	s__Campylobacter_D jejuni
PID-1291-22EPA077CP10__76364	s__Campylobacter_D jejuni
PID-0836-21EPA049CP4__57793	s__Campylobacter_D jejuni
PID-0444-20EPA015CF6__43876	s__Campylobacter_D jejuni
PID-0444-20EPA011CF11__43912	s__Campylobacter_D jejuni
PID-0444-20EPA011CP8__43907	s__Campylobacter_D jejuni
PID-1108-22EPA079CP3__67531	s__Campylobacter_D jejuni
PID-0444-20EPA011CF7__43928	s__Campylobacter_D jejuni
PID-0477-20EPA017CP14__45268	s__Campylobacter_D jejuni
PID-1108-22EPA078CP2__67556	s__Campylobacter_D jejuni
PID-0836-21EPA050CF1__57764	s__Campylobacter_D jejuni
PID-1250-22EPA080CP13__74231	s__Campylobacter_D jejuni
PID-0477-20EPA017CF8__45323	s__Campylobacter_D jejuni
PID-1250-22EPA080CP3__74213	s__Campylobacter_D jejuni
PID-1150-22EPA085CP18__69284	s__Campylobacter_D jejuni
PID-0666-21EPA039CF11__52180	s__Campylobacter_D jejuni
PID-0836-21EPA050CP10__57716	s__Campylobacter_D jejuni
PID-1108-22EPA078CP7__67518	s__Campylobacter_D jejuni
PID-1108-22EPA079CP5__67546	s__Campylobacter_D jejuni
PID-0818-21EPA041CP10__56476	s__Campylobacter_D jejuni
PID-0477-20EPA017CP9__45375	s__Campylobacter_D jejuni
PID-0477-20EPA017CP10__45330	s__Campylobacter_D jejuni
PID-0444-20EPA011CF5__43910	s__Campylobacter_D jejuni
PID-0836-21EPA049CF1__57766	s__Campylobacter_D jejuni
PID-0444-20EPA015CF13__43950	s__Campylobacter_D jejuni
PID-1108-22EPA078CP9__67528	s__Campylobacter_D jejuni
PID-0657-20EPA027CF11__51301	s__Campylobacter_D coli
PID-1108-22EPA079CP17__67537	s__Campylobacter_D jejuni
PID-1250-22EPA083CP5__74242	s__Campylobacter_D jejuni
PID-1108-22EPA079CP18__67551	s__Campylobacter_D jejuni
PID-0657-20EPA027CP1__51325	s__Campylobacter_D coli
PID-0666-21EPA039CP8__52146	s__Campylobacter_D jejuni
PID-1150-22EPA085CP14__69328	s__Campylobacter_D jejuni
PID-0915-21EPA034CP12__60007	s__Campylobacter_D jejuni
PID-0915-21EPA034CP8__59930	s__Campylobacter_D jejuni
PID-0818-21EPA041CF9__56465	s__Campylobacter_D jejuni
PID-0666-21EPA039CP15__52178	s__Campylobacter_D jejuni
PID-0906-20EPA017CF4__59963	s__Campylobacter_D jejuni
PID-0657-20EPA027CP13__51320	s__Campylobacter_D coli
PID-1150-22EPA087CP13__69285	s__Campylobacter_D coli
PID-0657-20EPA027CF1__51317	s__Campylobacter_D coli
PID-0818-21EPA041CF1__56472	s__Campylobacter_D jejuni
PID-1214-EPA097-6__71831	s__Campylobacter_D jejuni
PID-0657-20EPA027CF10__51312	s__Campylobacter_D coli
PID-0657-20EPA027CF13__51331	s__Campylobacter_D coli
PID-0915-21EPA034CP14__59941	s__Campylobacter_D jejuni
PID-0444-20EPA011CP4__43924	s__Campylobacter_D jejuni
PID-1150-22EPA087CP16__69306	s__Campylobacter_D coli
PID-1214-EPA097-5__71841	s__Campylobacter_D jejuni
PID-0444-20EPA015CP4__43899	s__Campylobacter_D jejuni
PID-0666-21EPA039CF4__52151	s__Campylobacter_D jejuni
PID-1250-22EPA080CP17__74233	s__Campylobacter_D jejuni
PID-0477-20EPA017CF2__45340	s__Campylobacter_D jejuni
PID-0444-20EPA015CP1__43881	s__Campylobacter_D jejuni
PID-0657-20EPA027CF7__51346	s__Campylobacter_D coli
PID-0666-21EPA039CP1__52154	s__Campylobacter_D jejuni
PID-0666-21EPA039CP4__52147	s__Campylobacter_D jejuni
PID-0836-21EPA050CF9__57760	s__Campylobacter_D jejuni
PID-0915-21EPA034CP15__60003	s__Campylobacter_D jejuni
PID-1150-22EPA087CP1__69359	s__Campylobacter_D coli
PID-1150-22EPA087CP3__69273	s__Campylobacter_D coli
PID-1250-22EPA080CP8__74234	s__Campylobacter_D jejuni
PID-1250-22EPA083CP18__74215	s__Campylobacter_D jejuni
PID-1214-EPA097-19__71822	s__Campylobacter_D jejuni
PID-0915-21EPA034CP13__59938	s__Campylobacter_D jejuni
PID-0836-21EPA050CF10__57747	s__Campylobacter_D jejuni
PID-0915-21EPA034CP6__59986	s__Campylobacter_D jejuni
PID-1108-22EPA079CP6__67524	s__Campylobacter_D jejuni
PID-1214-EPA097-7__71820	s__Campylobacter_D jejuni
PID-1214-EPA097-12__71842	s__Campylobacter_D jejuni
PID-1291-22EPA077CP2__76363	s__Campylobacter_D jejuni
PID-0477-20EPA017CP12__45325	s__Campylobacter_D jejuni
PID-1150-22EPA087CP12__69354	s__Campylobacter_D coli
PID-0444-20EPA011CP7__43953	s__Campylobacter_D jejuni
PID-0666-21EPA039CF13__52149	s__Campylobacter_D jejuni
PID-0444-20EPA011CP13__43917	s__Campylobacter_D jejuni
PID-1150-22EPA088CP7__69315	s__Campylobacter_D jejuni
PID-1150-22EPA085CP5__69294	s__Campylobacter_D jejuni
PID-0477-20EPA017CF14__45316	s__Campylobacter_D jejuni
PID-1150-22EPA085CP4__69343	s__Campylobacter_D jejuni
PID-1108-22EPA079CP13__67547	s__Campylobacter_D jejuni
PID-0915-21EPA034CP2__59997	s__Campylobacter_D jejuni
PID-1108-22EPA079CP9__67529	s__Campylobacter_D jejuni
PID-0657-20EPA027CF3__51314	s__Campylobacter_D coli
PID-1150-22EPA085CP2__69323	s__Campylobacter_D jejuni
PID-0836-21EPA050CP4__57719	s__Campylobacter_D jejuni
PID-1150-22EPA085CP1__69338	s__Campylobacter_D jejuni
PID-0836-21EPA050CP5__57732	s__Campylobacter_D jejuni
PID-0836-21EPA050CP2__57795	s__Campylobacter_D jejuni
PID-0818-21EPA041CF4__56482	s__Campylobacter_D jejuni
PID-1108-22EPA078CP10__67553	s__Campylobacter_D jejuni
PID-0657-20EPA027CF6__51336	s__Campylobacter_D coli
PID-0477-20EPA017CF6__45324	s__Campylobacter_D jejuni
PID-0444-20EPA015CF12__43908	s__Campylobacter_D jejuni
PID-1214-EPA097-8__71816	s__Campylobacter_D jejuni
PID-0444-20EPA015CF8__43883	s__Campylobacter_D jejuni
PID-0657-20EPA027CF5__51329	s__Campylobacter_D coli
PID-0444-20EPA011CP12__43952	s__Campylobacter_D jejuni
PID-0444-20EPA011CP1__43962	s__Campylobacter_D jejuni
PID-0836-21EPA049CF10__57796	s__Campylobacter_D jejuni
